name,src,normalizedSrc,height,width,alt
"kclogo.png","https://komikcast02.com/wp-content/uploads/2023/06/kclogo.png","https://komikcast02.com/wp-content/uploads/2023/06/kclogo.png",49.9769,144.838,"Komikcast - Tempatnya Baca Komik Online Bahasa Indonesia"
"Koko88-720x90-1.gif","https://komikcast02.com/wp-content/uploads/2024/05/Koko88-720x90-1.gif","https://komikcast02.com/wp-content/uploads/2024/05/Koko88-720x90-1.gif",0,575,undefined
"BM88.gif","https://komikcast02.com/wp-content/uploads/2025/02/BM88.gif","https://komikcast02.com/wp-content/uploads/2025/02/BM88.gif",0,575,undefined
"jd89-5.gif","https://komikcast02.com/wp-content/uploads/2025/02/jd89-5.gif","https://komikcast02.com/wp-content/uploads/2025/02/jd89-5.gif",0,575,undefined
"HokiDewa44.gif","https://komikcast02.com/wp-content/uploads/2024/11/HokiDewa44.gif","https://komikcast02.com/wp-content/uploads/2024/11/HokiDewa44.gif",0,575,undefined
"MacauDewa.gif","https://komikcast02.com/wp-content/uploads/2024/07/MacauDewa.gif","https://komikcast02.com/wp-content/uploads/2024/07/MacauDewa.gif",0,575,undefined
"KlikHoki321.gif","https://komikcast02.com/wp-content/uploads/2025/01/KlikHoki321.gif","https://komikcast02.com/wp-content/uploads/2025/01/KlikHoki321.gif",0,575,undefined
"JPdewa2.gif","https://komikcast02.com/wp-content/uploads/2024/11/JPdewa2.gif","https://komikcast02.com/wp-content/uploads/2024/11/JPdewa2.gif",0,575,undefined
"bandarxl11.gif","https://komikcast02.com/wp-content/uploads/2025/01/bandarxl11.gif","https://komikcast02.com/wp-content/uploads/2025/01/bandarxl11.gif",0,575,undefined
"001.jpg","https://sv3.imgkc3.my.id/wp-content/img/T/The_Veteran_Healer_Is_Overpowered/001/001.jpg","https://sv3.imgkc3.my.id/wp-content/img/T/The_Veteran_Healer_Is_Overpowered/001/001.jpg",5220,720,""
"002.jpg","https://sv3.imgkc3.my.id/wp-content/img/T/The_Veteran_Healer_Is_Overpowered/001/002.jpg","https://sv3.imgkc3.my.id/wp-content/img/T/The_Veteran_Healer_Is_Overpowered/001/002.jpg",6000,720,""
"003.jpg","https://sv3.imgkc3.my.id/wp-content/img/T/The_Veteran_Healer_Is_Overpowered/001/003.jpg","https://sv3.imgkc3.my.id/wp-content/img/T/The_Veteran_Healer_Is_Overpowered/001/003.jpg",5905,720,""
